Collection_LocationId,COLLECTION_LOCATION_UUID,branchNumber,COLLECTION_TYPE,FRIENDLY_IDENTIFIER,OPERATION_TYPE
,7756,2168,STORE_COLLECT,CA,NONPOD
7751,eb729540-c914-4cd5-9b01-9cfef92f8d17,2171,STORE_COLLECT,CA,NONPOD
7773,9c68d405-2c16-413c-b9a8-35d8d40af005,2172,STORE_COLLECT,CA,NONPOD
7061,d794b1b8-2c89-49f7-8899-69e8aadd1216,2174,STORE_COLLECT,CA,NONPOD
7042,77963c58-bcf4-4f2d-8196-833caacca339,2179,STORE_COLLECT,CA,POD
7757,38ebbf0a-cbb5-4803-90bb-83bf2ea4ace3,2186,STORE_COLLECT,CA,NONPOD
7222,47388d0c-eb46-4e5e-ab92-d5572afe6c19,2187,STORE_COLLECT,PA,POD
7735,f39b145a-f988-4cfe-bff1-0bfeb8731b72,2195,STORE_COLLECT,CA,NONPOD
7113,eab92cd8-a424-4938-be56-1fee1a81a4dd,2200,STORE_COLLECT,PA,POD
7149,59fc9bc5-55cc-4a33-b61f-78bf6305c2a3,2222,COLLECT_FROM_LOCATION,VA,NONPOD
7703,7d4b0f24-6f3a-4ec8-af63-27f062cef923,2228,COLLECT_FROM_LOCATION,VA,NONPOD
7551,952b9426-8769-4770-b2c7-94577ade8942,2228,STORE_COLLECT,PA,POD
7054,b3e8eb84-0588-4fc6-84dc-710c9dbba9a1,2230,STORE_COLLECT,PA,POD
7369,5a08d9d3-1383-479b-a46c-35d268869e63,2230,COLLECT_FROM_LOCATION,SA,NONPOD
7070,6c0ac090-5c26-4116-bbb9-cd5b2f0f6e22,2248,STORE_COLLECT,CA,NONPOD
7173,2b09c8dd-c58c-43ce-b0c1-3862411b4114,2266,STORE_COLLECT,CA,POD
7352,eb023e61-ac41-4d78-8cfa-de8d5ccf0ace,2272,COLLECT_FROM_LOCATION,SA,NONPOD
7122,b4742ec9-01dc-45ea-a2fa-0a4a668ade74,2275,STORE_COLLECT,PA,POD
7270,5a901080-32fd-4e96-ad41-e04573628d5d,2279,COLLECT_FROM_LOCATION,SA,NONPOD
7199,c9c6e92b-da0a-4935-a62d-b0a24f8e4750,2279,STORE_COLLECT,PA,POD
7209,558c0769-1872-40e1-bad2-2fda4a640212,2280,STORE_COLLECT,PA,POD
7200,9aabba81-0f3d-4396-be44-96bf5448868a,2286,STORE_COLLECT,PA,POD
7750,64e6696a-57c3-44ef-9ee9-a6f54e83a6e5,2294,STORE_COLLECT,CA,NONPOD
7635,3beaf92c-74f2-4d57-a836-d48b683edc5c,2296,STORE_COLLECT,CA,NONPOD
7310,9c13a6d9-3e88-4fa6-adde-a3a733570296,2310,STORE_COLLECT,PA,NONPOD
7710,b76602da-2213-42c7-b102-2a256ca48725,2310,COLLECT_FROM_LOCATION,VB,NONPOD
7709,f891e5c5-143d-4271-984d-24d8f4de19a4,2310,COLLECT_FROM_LOCATION,VA,NONPOD
7690,fd5fef21-a1f4-4641-8c4d-0e7f5fc9c1df,2310,COLLECT_FROM_LOCATION,UA,NONPOD
7098,f9d9f084-d72b-4691-be85-aa578ae7d781,2313,STORE_COLLECT,PA,POD
7477,7724fc2a-4b8c-45d5-9f32-9ca803669f38,2326,STORE_COLLECT,CA,NONPOD
7097,9100f64f-502d-4e07-af95-533517e1124b,2328,STORE_COLLECT,PA,POD
7094,356bc9d9-d138-4f7c-a83e-6af1cacbfcc5,2329,STORE_COLLECT,PA,POD
7003,89d21d50-633f-4c9c-b4b0-74544649f58b,2330,STORE_COLLECT,CA,NONPOD
,7527,2335,COLLECT_FROM_LOCATION,LA,NONPOD
7791,34db4154-e94b-4311-af9c-611c18cba356,2340,STORE_COLLECT,PB,NONPOD
7413,7413,2340,STORE_COLLECT,PC,NONPOD
7240,bd37d32d-8af0-4b10-aac0-e1cc41878a7c,2340,STORE_COLLECT,PA,POD
8137,b80057f2-4653-42e7-ada0-a1fb540f55be,2352,STORE_COLLECT,CA,NONPOD
7780,6f4d552f-66e4-4679-b304-3811134cfcf8,2361,STORE_COLLECT,CA,NONPOD
7423,f3c45da4-26e1-46cd-adcb-5d9f39886f63,2361,COLLECT_FROM_LOCATION,SA,NONPOD
7174,3c94bdcb-3574-413f-ad8a-2b7cfcfde437,2371,STORE_COLLECT,CA,POD
7608,0168e56b-eb3d-4ca8-bc2d-eb460d01b42f,2375,COLLECT_FROM_LOCATION,LI,NONPOD
7507,1ff658bf-4844-4fa0-9a54-670047d4fb49,2375,COLLECT_FROM_LOCATION,LF,NONPOD
7746,61b75dd7-a475-476e-bfe0-f811c0adc491,2375,STORE_COLLECT,CA,NONPOD
7559,6d3cd549-9609-4c3a-8ed0-1a6f6d80e4ab,2375,COLLECT_FROM_LOCATION,LG,NONPOD
7308,79980fc3-c30a-400c-aaa8-96f8267a0cd2,2375,COLLECT_FROM_LOCATION,LB,NONPOD
7498,945f5fe2-b1f3-4912-bf52-f41336657c3d,2375,COLLECT_FROM_LOCATION,LE,NONPOD
7349,96080e98-18d2-4d99-8aa5-67a3004ffaf2,2375,COLLECT_FROM_LOCATION,LD,NONPOD
7307,a1482ed9-5a8e-403b-adc7-ce011f5b2c67,2375,COLLECT_FROM_LOCATION,LA,NONPOD
7318,b4a1a30c-9006-47fb-9741-c16328a24d14,2375,COLLECT_FROM_LOCATION,LC,NONPOD
7560,d6d1cfac-0229-4adc-8cfb-02540961c6f8,2375,COLLECT_FROM_LOCATION,LH,NONPOD
7345,ecd0beca-88bd-44d7-a7f1-8fac5a29ace5,2375,COLLECT_FROM_LOCATION,SA,NONPOD
7609,ee123b2c-70bd-4974-8916-098766bde0db,2375,COLLECT_FROM_LOCATION,LJ,NONPOD
7123,12cf6073-38b1-460c-ba8d-fed2b5ecf3ec,2387,STORE_COLLECT,PA,POD
7093,ce986cd0-4b5c-4236-8fbd-4551c46dd76c,2388,STORE_COLLECT,PA,POD
7448,f06cbf51-47c7-4739-b1b6-6fda4faad38d,2388,COLLECT_FROM_LOCATION,LA,NONPOD
7214,86ca9946-f247-4d59-8421-3219192f6756,2389,STORE_COLLECT,PA,POD
